size_interval,size_2,size_3,size_4
0.2091,0.0056,0.0121,0.0353
0.1082,0.0045,0.0066,0.0088
0.1505,0.0007,0.0010,0.0014
0.1257,0.0035,0.0052,0.0070
0.1276,0.0017,0.0024,0.0031
0.1512,0.0098,0.0148,0.0195
0.1175,0.0007,0.0010,0.0014
0.0799,0.0007,0.0010,0.0014
0.2393,0.0443,0.0726,0.1227
0.1219,0.0017,0.0024,0.0031
0.1388,0.0014,0.0021,0.0028
0.2247,0.0127,0.0316,0.0634
0.1259,0.0007,0.0010,0.0014
0.2336,0.0633,0.1099,0.1620
0.2508,0.0147,0.0555,0.0938
0.1173,0.0007,0.0010,0.0014
0.3577,0.0168,0.0356,0.0534
0.1947,0.0105,0.0191,0.0326
0.1117,0.0007,0.0010,0.0014
0.1529,0.0007,0.0010,0.0014
0.1717,0.0046,0.0103,0.0226
0.1592,0.0017,0.0024,0.0031
0.1082,0.0007,0.0010,0.0014
0.1834,0.0017,0.0024,0.0031
0.1643,0.0007,0.0010,0.0014
0.2365,0.0049,0.0392,0.0709
0.2739,0.1062,0.2402,0.3926
0.1160,0.0007,0.0010,0.0014
0.2291,0.0124,0.0181,0.0240
0.2571,0.0039,0.0224,0.0408
0.1666,0.0055,0.0108,0.0502
0.2556,0.0078,0.0275,0.0622
0.1905,0.0207,0.0451,0.0740
0.1454,0.0021,0.0031,0.0042
0.1864,0.0007,0.0010,0.0014
0.2649,0.0374,0.0608,0.0822
0.2276,0.0165,0.0489,0.0833
0.2136,0.0732,0.1266,0.1846
0.1544,0.0007,0.0010,0.0014
0.1918,0.0019,0.0113,0.0308
0.1500,0.0011,0.0032,0.0136
0.1673,0.0056,0.0108,0.0167
0.1908,0.0149,0.0466,0.1047
0.2535,0.0862,0.2216,0.3810
0.3371,0.0087,0.0189,0.0391
0.1837,0.0418,0.1075,0.2312
0.0714,0.0007,0.0010,0.0014
0.3122,0.0440,0.0672,0.0965
0.2325,0.0309,0.0564,0.0923
0.1136,0.0038,0.0056,0.0074
0.0952,0.0007,0.0010,0.0014
0.2147,0.0313,0.0586,0.1117
0.1654,0.0007,0.0010,0.0014
0.1348,0.0447,0.0666,0.0867
0.1096,0.0007,0.0010,0.0014
0.1109,0.0007,0.0010,0.0014
0.2222,0.0275,0.0674,0.1143
0.1475,0.0007,0.0010,0.0014
0.1755,0.0015,0.0140,0.0343
0.3067,0.1492,0.2528,0.3438
0.2401,0.0032,0.0124,0.0301
0.0966,0.0007,0.0010,0.0014
0.2239,0.0041,0.0414,0.0807
0.1070,0.0007,0.0010,0.0014
0.1930,0.0103,0.0203,0.0516
0.2517,0.0103,0.0270,0.0658
0.1770,0.0057,0.0218,0.0494
0.2932,0.2467,0.3736,0.5107
0.1630,0.0007,0.0010,0.0014
0.2538,0.0138,0.0369,0.0656
0.2107,0.0312,0.0509,0.0703
0.1585,0.0007,0.0010,0.0014
0.1321,0.0028,0.0042,0.0056
0.1216,0.0007,0.0010,0.0014
0.1666,0.0007,0.0010,0.0014
0.2627,0.0848,0.1865,0.3432
0.2310,0.0036,0.0115,0.0290
0.1351,0.0032,0.0051,0.0071
0.1866,0.0296,0.0590,0.0951
0.2311,0.0276,0.0505,0.0889
0.2655,0.0413,0.0852,0.1346
0.2210,0.0190,0.0414,0.0708
0.0831,0.0014,0.0021,0.0028
0.1128,0.0017,0.0024,0.0031
0.1858,0.0438,0.0770,0.1084
0.2247,0.0152,0.0234,0.0317
0.2724,0.0400,0.1464,0.2781
0.2012,0.0217,0.0526,0.1115
0.1318,0.0007,0.0010,0.0014
0.2140,0.0214,0.0408,0.0877
0.2336,0.0585,0.1092,0.1663
0.1398,0.0107,0.0166,0.0230
0.2100,0.0362,0.0797,0.1230
0.1448,0.0007,0.0010,0.0014
0.1138,0.0007,0.0010,0.0014
0.1199,0.0007,0.0010,0.0014
0.1952,0.0206,0.0483,0.0757
0.2379,0.0030,0.0152,0.0808
0.2995,0.0364,0.1225,0.2709
0.2183,0.0260,0.0476,0.0885
0.1122,0.0007,0.0010,0.0014
0.2187,0.0112,0.0296,0.0506
0.2639,0.0294,0.0609,0.0927
0.1991,0.0007,0.0010,0.0014
0.2336,0.0912,0.2117,0.3536
0.2336,0.0220,0.0331,0.0436
0.2341,0.0091,0.0207,0.0573
0.1604,0.0260,0.0526,0.0795
0.3555,0.0024,0.0101,0.0191
0.0788,0.0820,0.1408,0.2011
0.1995,0.1341,0.1958,0.2534
0.0874,0.0017,0.0024,0.0031
0.3316,0.0366,0.0875,0.2011
0.1691,0.0251,0.0473,0.0830
0.1623,0.0183,0.0409,0.0811
0.1885,0.0024,0.0035,0.0045
0.2122,0.0156,0.0450,0.0927
0.2285,0.0098,0.0274,0.0623
0.1835,0.0144,0.0314,0.0600
0.3055,0.0666,0.1132,0.1742
0.2629,0.0104,0.0235,0.0595
0.1792,0.0007,0.0010,0.0014
0.1455,0.0007,0.0010,0.0014
0.1368,0.0021,0.0031,0.0042
0.1403,0.0007,0.0010,0.0014
0.1120,0.0017,0.0024,0.0031
0.0714,0.0290,0.0504,0.0881
0.1468,0.0007,0.0010,0.0014
0.1133,0.0000,0.0000,0.0000
0.1344,0.0014,0.0021,0.0028
0.3414,0.0282,0.0951,0.2218
0.1329,0.1363,0.2506,0.3625
0.1144,0.0007,0.0010,0.0014
0.1157,0.0017,0.0024,0.0031
0.1440,0.0007,0.0010,0.0014
0.1330,0.0024,0.0035,0.0045
0.1853,0.0091,0.0307,0.0531
0.2100,0.0163,0.0487,0.0853
0.1316,0.0058,0.0062,0.0067
0.1038,0.0007,0.0010,0.0014
0.1232,0.0017,0.0024,0.0031
0.2205,0.0462,0.0868,0.1464
0.1846,0.0141,0.0396,0.0745
0.3099,0.0353,0.0528,0.0691
0.1000,0.0007,0.0010,0.0014
0.1966,0.0105,0.0276,0.0514
0.1403,0.0035,0.0052,0.0070
0.1615,0.0007,0.0010,0.0014
0.1831,0.0007,0.0010,0.0014
0.2521,0.0044,0.0335,0.0789
0.1069,0.0028,0.0042,0.0056
0.2238,0.0514,0.0992,0.1694
0.2463,0.0020,0.0112,0.0338
0.2231,0.0536,0.1203,0.1993
0.2277,0.0132,0.0332,0.0620
0.1917,0.0079,0.0242,0.0514
0.0968,0.0007,0.0010,0.0014
0.1768,0.0017,0.0024,0.0031
0.1266,0.0007,0.0010,0.0014
0.1776,0.0024,0.0035,0.0045
0.2192,0.0025,0.0081,0.0206
0.1027,0.0017,0.0024,0.0031
0.2821,0.0056,0.0101,0.0232
0.1590,0.0045,0.0066,0.0088
0.0959,0.0017,0.0024,0.0031
0.2584,0.0181,0.0446,0.0945
0.1441,0.0007,0.0010,0.0014
0.2373,0.0042,0.0171,0.0295
0.1334,0.0028,0.0042,0.0056
0.2680,0.0157,0.0453,0.0964
0.1317,0.0007,0.0010,0.0014
0.1359,0.0007,0.0010,0.0014
0.2421,0.0266,0.0530,0.1051
0.2348,0.0424,0.1225,0.2060
0.1239,0.0087,0.0229,0.0499
0.2339,0.0226,0.0533,0.0941
0.1239,0.0588,0.0873,0.1128
0.1773,0.0206,0.0392,0.0670
0.2783,0.0413,0.1204,0.2636
0.1422,0.0007,0.0010,0.0014
0.1303,0.0007,0.0010,0.0014
0.1530,0.0024,0.0035,0.0045
0.2033,0.0067,0.0284,0.0570
0.1036,0.0007,0.0010,0.0014
0.0464,0.0007,0.0010,0.0014
0.2740,0.0656,0.1624,0.3161
0.0838,0.0665,0.0988,0.1271
0.2831,0.0194,0.0756,0.2590
0.1270,0.0007,0.0010,0.0014
0.3401,0.0823,0.1867,0.3240
0.1479,0.0369,0.0681,0.1134
0.1019,0.0000,0.0000,0.0000
0.1358,0.0066,0.0098,0.0130
0.1195,0.0007,0.0010,0.0014
0.1848,0.0134,0.0207,0.0282
0.1360,0.0072,0.0140,0.0207
0.1998,0.0190,0.0469,0.0952
0.1375,0.0014,0.0027,0.0053
0.2038,0.0056,0.0209,0.0396
0.1222,0.0007,0.0010,0.0014
0.1528,0.0007,0.0010,0.0014
0.1396,0.0014,0.0021,0.0028
0.2705,0.0191,0.0427,0.0770
0.2517,0.0242,0.0527,0.0847
0.2140,0.0068,0.0158,0.0429
0.2071,0.0166,0.0329,0.0775
0.1614,0.0042,0.0063,0.0081
0.1344,0.0007,0.0010,0.0014
0.3066,0.2309,0.3363,0.4667
0.1989,0.0136,0.0217,0.0474
0.1612,0.0350,0.0732,0.1343
0.1168,0.0017,0.0024,0.0031
0.1193,0.0028,0.0042,0.0056
0.2063,0.0220,0.0494,0.0901
0.1850,0.0159,0.0361,0.0597
0.2212,0.0341,0.0838,0.1517
0.1417,0.0007,0.0010,0.0014
0.1420,0.0144,0.0217,0.0286
0.0932,0.0112,0.0170,0.0224
0.1363,0.0007,0.0010,0.0014
0.1200,0.0155,0.0235,0.0312
0.1652,0.0338,0.0509,0.0671
0.1496,0.0050,0.0064,0.0079
0.1830,0.0067,0.0187,0.0428
0.1329,0.0007,0.0010,0.0014
0.3005,0.0339,0.0621,0.1049
0.1263,0.0024,0.0035,0.0045
0.1408,0.0014,0.0021,0.0028
0.1381,0.0007,0.0010,0.0014
0.0835,0.0007,0.0010,0.0014
0.2485,0.0066,0.0254,0.0559
0.2137,0.0272,0.0572,0.0947
0.1567,0.0007,0.0010,0.0014
0.2457,0.0345,0.0701,0.1219
0.0890,0.0007,0.0010,0.0014
0.2303,0.0323,0.0670,0.1136
0.2085,0.0007,0.0010,0.0014
0.2010,0.0025,0.0084,0.0153
0.0964,0.0024,0.0035,0.0045
0.1738,0.0007,0.0010,0.0014
0.1410,0.0038,0.0056,0.0074
0.1393,0.0007,0.0010,0.0014
0.0951,0.0007,0.0010,0.0014
0.1269,0.0235,0.0357,0.0475
0.2072,0.0057,0.0231,0.0530
0.3330,0.0478,0.1288,0.2943
0.0983,0.0007,0.0010,0.0014
0.1589,0.0007,0.0010,0.0014
0.2818,0.2808,0.3876,0.4755
0.1584,0.0534,0.1195,0.2087
0.1373,0.0242,0.0366,0.0488
0.2407,0.0473,0.0748,0.1043
0.2060,0.0127,0.0272,0.0540
0.2286,0.0038,0.0157,0.0356
0.1285,0.0007,0.0010,0.0014
0.1907,0.0580,0.1007,0.1647
0.1476,0.0049,0.0073,0.0095
0.2346,0.0042,0.0268,0.0520
0.1471,0.0042,0.0063,0.0081
0.2660,0.0045,0.0066,0.0088
0.1222,0.0098,0.0148,0.0195
0.1926,0.0084,0.0214,0.0341
0.2343,0.0299,0.0585,0.0878
0.1813,0.0063,0.0183,0.0370
0.2386,0.0234,0.0452,0.0788
0.1695,0.0007,0.0010,0.0014
0.1160,0.0000,0.0000,0.0000
0.1540,0.0007,0.0010,0.0014
0.1335,0.0035,0.0052,0.0070
0.1303,0.0604,0.1491,0.2556
0.1196,0.0099,0.0151,0.0204
0.2499,0.0017,0.0024,0.0031
0.1842,0.0341,0.0501,0.0657
0.2323,0.0121,0.0263,0.0480
0.2895,0.0886,0.2055,0.3596
0.1458,0.0038,0.0056,0.0074
0.1233,0.0007,0.0010,0.0014
0.2048,0.0149,0.0262,0.0462
0.2104,0.0069,0.0207,0.0418
0.0971,0.0531,0.0791,0.1015
0.1296,0.0007,0.0010,0.0014
0.1490,0.0078,0.0208,0.0401
0.1812,0.0146,0.0329,0.0448
0.1335,0.0046,0.0088,0.0131
0.1684,0.0007,0.0010,0.0014
0.1906,0.0189,0.0368,0.0688
0.1756,0.0007,0.0010,0.0014
0.1427,0.0017,0.0024,0.0031
0.2797,0.0122,0.0378,0.0875
0.1349,0.0007,0.0010,0.0014
0.2409,0.0074,0.0176,0.0358
0.1341,0.0007,0.0010,0.0014
0.1194,0.0007,0.0010,0.0014
0.1162,0.0000,0.0000,0.0000
0.0924,0.0007,0.0010,0.0014
0.2485,0.0262,0.0504,0.0952
0.1765,0.0217,0.0381,0.0730
0.1209,0.0285,0.0452,0.0581
0.1317,0.0220,0.0334,0.0444
0.1077,0.0007,0.0010,0.0014
0.2257,0.0451,0.0891,0.1484
0.1882,0.0549,0.0951,0.1357
0.2029,0.0136,0.0271,0.0419
0.2523,0.0076,0.0389,0.0802
0.1912,0.0274,0.0571,0.0949
0.0984,0.0095,0.0141,0.0184
0.1027,0.0007,0.0010,0.0014
0.1862,0.0096,0.0234,0.0443
0.0890,0.0007,0.0010,0.0014
0.0683,0.0564,0.1349,0.2476
0.1642,0.0007,0.0010,0.0014
0.1932,0.0053,0.0144,0.0274
0.2076,0.0128,0.0285,0.0468
0.1197,0.0007,0.0010,0.0014
0.2319,0.1705,0.2430,0.3075
0.0889,0.0588,0.1618,0.2955
0.2814,0.0543,0.1175,0.2384
0.2357,0.0091,0.0210,0.0461
0.1923,0.0065,0.0180,0.0379
0.1945,0.0007,0.0192,0.0417
0.1682,0.0000,0.0000,0.0000
0.1447,0.0007,0.0010,0.0014
0.0790,0.0007,0.0010,0.0014
0.2814,0.0314,0.0631,0.1204
0.1252,0.0007,0.0010,0.0014
0.2054,0.0181,0.0364,0.0641
0.2355,0.0123,0.0265,0.0477
0.1901,0.0000,0.0000,0.0000
0.1003,0.0007,0.0010,0.0014
0.2022,0.0023,0.0094,0.0297
0.1114,0.0007,0.0010,0.0014
0.1341,0.0007,0.0010,0.0014
0.1536,0.0007,0.0010,0.0014
0.2303,0.0132,0.0334,0.0577
0.2267,0.0192,0.0478,0.0845
0.3909,0.3842,0.4945,0.5790
0.1299,0.0007,0.0010,0.0014
0.1424,0.0024,0.0035,0.0045
0.2036,0.0139,0.0305,0.0497
0.2701,0.0608,0.1258,0.2462
0.1014,0.0007,0.0010,0.0014
0.1847,0.0241,0.0596,0.0920
0.1525,0.0927,0.1364,0.1767
0.1210,0.0007,0.0010,0.0014
0.1702,0.0017,0.0024,0.0031
0.1549,0.0007,0.0010,0.0014
0.1799,0.0122,0.0324,0.0601
0.2581,0.0070,0.0112,0.0158
0.0745,0.0616,0.1219,0.1941
0.1977,0.0067,0.0119,0.0253
0.1537,0.0017,0.0024,0.0031
0.1695,0.0007,0.0010,0.0014
0.2025,0.0334,0.0611,0.0973
0.3196,0.0532,0.0928,0.1298
0.1947,0.0035,0.0110,0.0239
0.2247,0.0209,0.0532,0.0855
0.3213,0.0659,0.1769,0.2982
0.2195,0.0010,0.0140,0.0338
0.1378,0.0017,0.0024,0.0031
0.1521,0.0092,0.0205,0.0388
0.1150,0.0007,0.0010,0.0014
0.2744,0.0759,0.1550,0.3112
0.1321,0.0007,0.0010,0.0014
0.1543,0.0038,0.0056,0.0074
0.1584,0.0672,0.1099,0.1643
0.2538,0.0223,0.0499,0.0801
0.2450,0.0035,0.0078,0.0506
0.2334,0.0414,0.0805,0.1397
0.1071,0.0007,0.0010,0.0014
0.1203,0.0107,0.0166,0.0230
0.2200,0.0052,0.0418,0.0929
0.1001,0.0007,0.0010,0.0014
0.1349,0.0041,0.0070,0.0102
0.2701,0.0721,0.1541,0.2827
0.2513,0.0021,0.0058,0.0242
0.1609,0.0007,0.0010,0.0014
0.1555,0.0007,0.0010,0.0014
0.1877,0.0240,0.0454,0.0821
0.1078,0.0017,0.0024,0.0031
0.1098,0.0007,0.0010,0.0014
0.3467,0.0458,0.1000,0.2111
0.2176,0.0301,0.0625,0.1209
0.2008,0.0007,0.0010,0.0014
0.1561,0.0017,0.0024,0.0031
0.1351,0.0017,0.0024,0.0031
0.0959,0.0024,0.0035,0.0045
0.1190,0.0007,0.0010,0.0014
0.3260,0.0524,0.1131,0.2436
0.2124,0.0785,0.1279,0.1730
0.1784,0.0017,0.0024,0.0031
0.1514,0.0024,0.0035,0.0045
0.0959,0.0007,0.0010,0.0014
0.1275,0.0007,0.0010,0.0014
0.0827,0.0007,0.0010,0.0014
0.1628,0.0848,0.1375,0.1974
0.2040,0.0091,0.0210,0.0371
0.2911,0.0282,0.0763,0.2059
0.1091,0.0007,0.0010,0.0014
0.2798,0.0211,0.0455,0.0820
0.1012,0.1359,0.2639,0.4411
0.4228,0.3098,0.4540,0.5765
0.1230,0.0007,0.0010,0.0014
0.1565,0.0158,0.0296,0.0556
0.1314,0.0007,0.0010,0.0014
0.1645,0.0007,0.0010,0.0014
0.2107,0.0027,0.0072,0.0195
0.3229,0.0236,0.0500,0.0920
0.1760,0.0035,0.0052,0.0070
0.1834,0.0289,0.0540,0.0883
0.1508,0.0007,0.0010,0.0014
0.1566,0.0007,0.0010,0.0014
0.1094,0.0028,0.0042,0.0056
0.1735,0.0007,0.0010,0.0014
0.2638,0.0862,0.1936,0.3343
0.2509,0.0081,0.0229,0.0442
0.2841,0.0015,0.0112,0.0465
0.3012,0.0652,0.1686,0.3164
0.1404,0.0007,0.0010,0.0014
0.1470,0.0007,0.0010,0.0014
0.2621,0.0169,0.0314,0.0578
0.1099,0.0007,0.0010,0.0014
0.3017,0.0666,0.1413,0.2983
